STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VGB,British Virgin Islands,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,150,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VGB,British Virgin Islands,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,150,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,HTI,Haiti,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,27560,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,HTI,Haiti,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,27560,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AND,Andorra,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,470,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AND,Andorra,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,470,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KWT,Kuwait,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,62.5,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KWT,Kuwait,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,62.5,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,LIE,Liechtenstein,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,160,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,LIE,Liechtenstein,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,160,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,YEM,Yemen,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,527970,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,YEM,Yemen,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,527970,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KAZ,Kazakhstan,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,2699700,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KAZ,Kazakhstan,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,2699700,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TGO,Togo,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,54390,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TGO,Togo,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,54390,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MAC,Macau (China),A,Annual,LAND,Land area,KM2,Square kilometres,2021,,33,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MAC,Macau (China),A,Annual,LAND,Land area,KM2,Square kilometres,2022,,33,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SUR,Suriname,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,160507.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SUR,Suriname,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,160507.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ISR,Israel,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,1400,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ISR,Israel,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,1400,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CUW,Curaçao,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,444,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CUW,Curaçao,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,444,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CYP,Cyprus,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,9240,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CYP,Cyprus,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,9240,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,REU,Réunion,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,989.2,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,REU,Réunion,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,994,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,DMA,Dominica,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,750,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,DMA,Dominica,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,750,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VIR,United States Virgin Islands,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,350,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VIR,United States Virgin Islands,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,350,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AUT,Austria,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,38926.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AUT,Austria,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,38954.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VUT,Vanuatu,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,12190,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VUT,Vanuatu,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,12190,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KGZ,Kyrgyzstan,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,199950,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KGZ,Kyrgyzstan,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,199950,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GHA,Ghana,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,79929.33,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GHA,Ghana,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,80001.61,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MTQ,Martinique,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,1060,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MTQ,Martinique,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,1060,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,JPN,Japan,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,364500,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,JPN,Japan,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,364500,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,UGA,Uganda,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,200520,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,UGA,Uganda,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,200520,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SVN,Slovenia,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,12357.93,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SVN,Slovenia,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,12337.61,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CAN,Canada,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,8788700,,B,Time series break,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CAN,Canada,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,8788700,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SAU,Saudi Arabia,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,2149690,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SAU,Saudi Arabia,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,2149690,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TUV,Tuvalu,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,10,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TUV,Tuvalu,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,10,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PRY,Paraguay,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,397300,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PRY,Paraguay,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,396012,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BLR,Belarus,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,207630,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BLR,Belarus,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,207630,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MTQ,Martinique,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,524.9,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MTQ,Martinique,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,526.9,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SWE,Sweden,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,279800,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SWE,Sweden,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,279800,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VCT,Saint Vincent and the Grenadines,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,285.4,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VCT,Saint Vincent and the Grenadines,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,285.4,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KOR,Korea,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,97600,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KOR,Korea,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,97600,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,HND,Honduras,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,63383.1,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,HND,Honduras,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,63173.6,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SAU,Saudi Arabia,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,2149690,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SAU,Saudi Arabia,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,2149690,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BTN,Bhutan,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,27270.6,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BTN,Bhutan,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,27290.4,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KIR,Kiribati,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,810,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KIR,Kiribati,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,810,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,REU,Réunion,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,2510,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,REU,Réunion,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,2510,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PLW,Palau,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,414.9,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PLW,Palau,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,415.7,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MHL,Marshall Islands,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,180,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MHL,Marshall Islands,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,180,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,FIN,Finland,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,224090,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,FIN,Finland,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,224090,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AGO,Angola,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,1246700,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,AGO,Angola,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,1246700,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,RWA,Rwanda,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,26340,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,RWA,Rwanda,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,26340,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PCN,Pitcairn,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,47,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PCN,Pitcairn,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,47,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GEO,Georgia,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,69490,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GEO,Georgia,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,69490,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CAN,Canada,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,3468911,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,CAN,Canada,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,3468541,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,QAT,Qatar,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,0,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,QAT,Qatar,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,0,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PCN,Pitcairn,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,47,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PCN,Pitcairn,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,47,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NIU,Niue,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,188.8,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NIU,Niue,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,188.9,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MWI,Malawi,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,94280,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MWI,Malawi,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,94280,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PYF,French Polynesia,A,Annual,AREA,Total area,KM2,Square kilometres,2021,,3471,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PYF,French Polynesia,A,Annual,AREA,Total area,KM2,Square kilometres,2022,,3471,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PRK,Democratic People’s Republic of Korea,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,120410,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,PRK,Democratic People’s Republic of Korea,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,120410,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SLE,Sierra Leone,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,72180,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,SLE,Sierra Leone,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,72180,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MMR,Myanmar,A,Annual,FOREST,Forest,KM2,Square kilometres,2021,,282541.8,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MMR,Myanmar,A,Annual,FOREST,Forest,KM2,Square kilometres,2022,,279644.7,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BTN,Bhutan,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,38140,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,BTN,Bhutan,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,38140,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ERI,Eritrea,A,Annual,LAND,Land area,KM2,Square kilometres,2021,,121040.8,,E,Estimated value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,ERI,Eritrea,A,Annual,LAND,Land area,KM2,Square kilometres,2022,,121040.8,,E,Estimated value,0,Units,1,One
